round,param_ma_months,param_momentum_months,param_high_weight,param_mid_weight,param_low_weight,param_vol_window_short,param_vol_window_long,param_vol_lookback,param_vol_quantile,param_vol_cut,param_trading_days,start_date,end_date,bars,total_return,annualized_return,max_drawdown,sharpe,average_exposure,trade_count,composite_score
0001,10,12,1.0,0.7,0.3,20,60,252,0.8,0.2,252,2004-02-11,2026-06-30,5505,10.512966970935578,0.11837212843946676,-0.29558553326797843,0.8424637565650926,0.73622161671208,95,-0.1879670291720024
0002,10,12,1.0,0.7,0.3,20,60,252,0.8,0.3,252,2004-02-11,2026-06-30,5505,9.97138056981886,0.11590761629655577,-0.2669042317202903,0.8529390162495206,0.7063941871026339,94,-0.15970271379878248
0003,10,12,1.0,0.7,0.3,20,60,252,0.8,0.4,252,2004-02-11,2026-06-30,5505,9.291856190215494,0.112645732980589,-0.25147016427940816,0.8545355117375144,0.6847048138056312,95,-0.14837088012506772
0004,10,12,1.0,0.7,0.3,20,60,252,0.8,0.5,252,2004-02-11,2026-06-30,5505,8.631821107041628,0.10927436085425457,-0.24183894044979382,0.8519502739442459,0.6630154405086285,95,-0.14236955220111466
0005,10,12,1.0,0.7,0.3,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,7.993050268168952,0.1057947457624604,-0.23633806960875636,0.844481740585626,0.6413260672116258,95,-0.14109514978773338
0006,10,12,1.0,0.7,0.4,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,8.358388000719081,0.10781266788334087,-0.25003209876730625,0.8516005946996928,0.6494459582198001,94,-0.15105937141399609
0007,10,12,1.0,0.8,0.3,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,8.476329412909646,0.10844808052356814,-0.24925255740836605,0.8482612860772303,0.6555676657584014,95,-0.15097834827707488
0008,10,12,1.0,0.7,0.2,20,60,252,0.8,0.6,252,2004-02-11,2026-06-30,5505,7.633205877546315,0.10372919578617368,-0.2363380696087557,0.834917316017096,0.6332061762034514,95,-0.14411714222087244
0009,10,12,1.0,0.7,0.3,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,7.377049930632056,0.10220815223138646,-0.23633806960875625,0.8315694502504977,0.6196366939146231,90,-0.14097297235232
0010,10,12,1.0,0.7,0.4,20,60,252,0.8,0.7,252,2004-02-11,2026-06-30,5505,7.717362987476504,0.10421952931626222,-0.24115161862371892,0.838794028048588,0.6277565849227975,90,-0.1430526865025979
