date,close,from_weight,to_weight,delta_weight
2005-03-01,6.8,0.0,0.8,0.8
2005-05-03,6.4,0.8,0.5,-0.30000000000000004
2005-06-01,6.29,0.5,0.8,0.30000000000000004
2005-07-01,6.63,0.8,1.0,0.19999999999999996
2005-09-02,6.6,1.0,0.8,-0.19999999999999996
2005-10-03,6.65,0.8,1.0,0.19999999999999996
2005-11-01,6.34,1.0,0.6000000000000001,-0.3999999999999999
2005-12-01,6.79,0.6000000000000001,1.0,0.3999999999999999
2006-01-02,7.04,1.0,0.8,-0.19999999999999996
2006-05-02,7.92,0.8,1.0,0.19999999999999996
2006-06-01,7.44,1.0,0.8,-0.19999999999999996
2006-09-01,7.57,0.8,1.0,0.19999999999999996
2006-11-01,7.42,1.0,0.8,-0.19999999999999996
2006-12-01,7.89,0.8,1.0,0.19999999999999996
2007-08-01,8.82,1.0,0.8,-0.19999999999999996
2008-01-02,8.37,0.8,0.6000000000000001,-0.19999999999999996
2008-02-01,7.86,0.6000000000000001,0.3,-0.3000000000000001
2008-03-03,8.24,0.3,0.6000000000000001,0.3000000000000001
2008-05-02,8.95,0.6000000000000001,1.0,0.3999999999999999
2008-06-02,8.72,1.0,0.8,-0.19999999999999996
2008-07-01,7.65,0.8,0.5,-0.30000000000000004
2008-08-01,7.3,0.5,0.3,-0.2
2008-09-01,7.17,0.3,0.5,0.2
2008-10-01,6.35,0.5,0.3,-0.2
2009-02-02,4.56,0.3,0.5,0.2
2009-05-04,6.66,0.5,0.8,0.30000000000000004
2009-10-01,7.92,0.8,1.0,0.19999999999999996
2010-06-01,7.5,1.0,0.8,-0.19999999999999996
2010-07-01,7.4,0.8,0.6000000000000001,-0.19999999999999996
2010-08-02,8.27,0.6000000000000001,1.0,0.3999999999999999
2011-03-01,9.38,1.0,0.8,-0.19999999999999996
2011-04-01,9.37,0.8,1.0,0.19999999999999996
2011-08-01,9.44,1.0,0.8,-0.19999999999999996
2011-09-01,8.63,0.8,0.6000000000000001,-0.19999999999999996
2011-10-03,7.87,0.6000000000000001,0.3,-0.3000000000000001
2012-01-02,7.97,0.3,0.5,0.2
2012-03-01,9.08,0.5,0.8,0.30000000000000004
2012-05-02,8.66,0.8,0.5,-0.30000000000000004
2012-09-03,8.63,0.5,1.0,0.5
2012-11-01,8.47,1.0,0.5,-0.5
2012-12-03,9.0,0.5,1.0,0.5
2013-07-01,9.36,1.0,0.8,-0.19999999999999996
2013-10-01,9.62,0.8,1.0,0.19999999999999996
2014-03-03,9.98,1.0,0.8,-0.19999999999999996
2014-04-01,10.44,0.8,1.0,0.19999999999999996
2014-11-03,11.58,1.0,0.8,-0.19999999999999996
2015-03-02,12.35,0.8,1.0,0.19999999999999996
2015-05-04,12.63,1.0,0.8,-0.19999999999999996
2015-06-01,12.44,0.8,1.0,0.19999999999999996
2015-08-03,11.51,1.0,0.6000000000000001,-0.3999999999999999
2015-09-01,10.9,0.6000000000000001,0.3,-0.3000000000000001
2015-12-01,11.36,0.3,0.5,0.2
2016-04-01,11.63,0.5,0.8,0.30000000000000004
2016-05-03,11.06,0.8,0.5,-0.30000000000000004
2016-06-01,11.59,0.5,0.8,0.30000000000000004
2016-08-01,12.77,0.8,1.0,0.19999999999999996
2016-10-03,13.16,1.0,0.8,-0.19999999999999996
2016-11-01,13.38,0.8,1.0,0.19999999999999996
2016-12-01,13.26,1.0,0.8,-0.19999999999999996
2017-01-03,13.25,0.8,1.0,0.19999999999999996
2018-01-02,15.71,1.0,0.8,-0.19999999999999996
2018-05-02,15.49,0.8,0.6000000000000001,-0.19999999999999996
2018-06-01,15.87,0.6000000000000001,0.8,0.19999999999999996
2018-07-02,15.82,0.8,1.0,0.19999999999999996
2018-11-01,15.43,1.0,0.3,-0.7
2019-02-11,15.24,0.3,0.5,0.2
2019-04-01,16.2,0.5,0.8,0.30000000000000004
2019-05-02,16.84,0.8,1.0,0.19999999999999996
2019-06-03,15.93,1.0,0.8,-0.19999999999999996
2019-07-01,16.77,0.8,1.0,0.19999999999999996
2019-09-02,16.76,1.0,0.8,-0.19999999999999996
2019-10-01,17.58,0.8,1.0,0.19999999999999996
2020-02-03,18.81,1.0,0.8,-0.19999999999999996
2020-04-01,16.03,0.8,0.6000000000000001,-0.19999999999999996
2020-05-04,17.53,0.6000000000000001,0.8,0.19999999999999996
2020-06-01,17.93,0.8,0.6000000000000001,-0.19999999999999996
2020-07-01,19.12,0.6000000000000001,1.0,0.3999999999999999
2021-06-01,29.94,1.0,0.8,-0.19999999999999996
2021-07-01,30.07,0.8,1.0,0.19999999999999996
2022-04-01,30.5,1.0,0.8,-0.19999999999999996
2022-05-03,28.47,0.8,0.5,-0.30000000000000004
2022-06-01,28.77,0.5,0.3,-0.2
2022-10-03,23.12,0.3,0.5,0.2
2022-11-01,22.54,0.5,0.3,-0.2
2023-02-01,27.53,0.3,0.6000000000000001,0.3000000000000001
2023-04-06,28.0,0.6000000000000001,0.8,0.19999999999999996
2023-06-01,28.96,0.8,1.0,0.19999999999999996
2024-03-01,34.3,1.0,0.8,-0.19999999999999996
2024-11-01,46.0,0.8,1.0,0.19999999999999996
2025-04-01,43.16,1.0,0.8,-0.19999999999999996
2025-05-02,42.47,0.8,0.6000000000000001,-0.19999999999999996
2025-07-01,47.63,0.6000000000000001,0.8,0.19999999999999996
2025-08-01,50.39,0.8,1.0,0.19999999999999996
2026-06-01,105.5,1.0,0.8,-0.19999999999999996
